epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.671,1.54423,5.88641,1.45349,0.70219,0.03185,0.02312,0.01064,1.8457,4.26925,1.58639,0.00333102,0.00333102,0.00333102
2,439.128,1.57984,4.88951,1.48579,0.62294,0.07563,0.06216,0.03291,1.81439,3.74342,1.54845,0.0065324,0.0065324,0.0065324
3,651.667,1.64784,4.5588,1.54324,0.54503,0.07662,0.06651,0.03204,1.9174,3.70693,1.63549,0.00960178,0.00960178,0.00960178
4,863.215,1.66207,4.2315,1.57034,0.62407,0.09249,0.1235,0.06277,1.80536,3.27447,1.60057,0.009406,0.009406,0.009406
5,1075.37,1.60005,3.70805,1.52492,0.62371,0.11674,0.16577,0.08359,1.88454,3.04432,1.67284,0.009208,0.009208,0.009208
6,1287.02,1.56083,3.27167,1.50266,0.57634,0.18129,0.20925,0.10695,1.80185,2.71957,1.57427,0.00901,0.00901,0.00901
7,1498.81,1.53504,2.97436,1.4808,0.60856,0.19706,0.24094,0.12406,1.77412,2.57427,1.52342,0.008812,0.008812,0.008812
8,1710.42,1.51004,2.7632,1.45681,0.61037,0.24171,0.28171,0.1494,1.72582,2.40127,1.50861,0.008614,0.008614,0.008614
9,1922.26,1.48741,2.62319,1.44051,0.66724,0.21039,0.27211,0.15487,1.63932,2.30855,1.45285,0.008416,0.008416,0.008416
10,2134.08,1.46431,2.49196,1.42407,0.66517,0.26404,0.31892,0.18332,1.61782,2.19477,1.43328,0.008218,0.008218,0.008218
11,2345.52,1.4518,2.40017,1.41652,0.66975,0.27136,0.3458,0.20098,1.58725,2.16326,1.42636,0.00802,0.00802,0.00802
12,2557.21,1.43912,2.30813,1.39811,0.61642,0.31099,0.35512,0.19877,1.65863,2.09722,1.45524,0.007822,0.007822,0.007822
13,2768.97,1.42271,2.2332,1.39215,0.68773,0.29445,0.36986,0.21725,1.53155,1.98379,1.37832,0.007624,0.007624,0.007624
14,2980.55,1.40112,2.14762,1.37309,0.6973,0.31314,0.38944,0.22674,1.55396,1.91157,1.39736,0.007426,0.007426,0.007426
15,3192.4,1.38804,2.08057,1.36626,0.68977,0.33867,0.41635,0.23731,1.59583,1.89876,1.40997,0.007228,0.007228,0.007228
16,3404.22,1.37699,2.01878,1.35636,0.73209,0.32003,0.40742,0.24067,1.54206,1.83579,1.36904,0.00703,0.00703,0.00703
17,3615.99,1.36569,1.96831,1.34824,0.71721,0.34017,0.41748,0.24428,1.54862,1.81877,1.37299,0.006832,0.006832,0.006832
18,3827.81,1.36209,1.93228,1.34486,0.6867,0.34303,0.42957,0.25931,1.49037,1.77611,1.3387,0.006634,0.006634,0.006634
19,4039.97,1.3349,1.87181,1.32651,0.62867,0.38705,0.4381,0.26512,1.46651,1.73506,1.33014,0.006436,0.006436,0.006436
20,4252.05,1.33712,1.85082,1.32763,0.69954,0.36838,0.44336,0.27374,1.45866,1.70371,1.31686,0.006238,0.006238,0.006238
21,4463.74,1.32004,1.80084,1.31389,0.64123,0.40724,0.45107,0.28022,1.43716,1.67881,1.30133,0.00604,0.00604,0.00604
22,4675.44,1.31235,1.7513,1.30989,0.67684,0.39466,0.45546,0.2829,1.44453,1.64366,1.30047,0.005842,0.005842,0.005842
23,4887.3,1.29912,1.71517,1.29788,0.63503,0.42613,0.46301,0.29049,1.43506,1.63928,1.30882,0.005644,0.005644,0.005644
24,5098.92,1.28793,1.6794,1.2897,0.67532,0.41065,0.46694,0.29091,1.4257,1.61323,1.2981,0.005446,0.005446,0.005446
25,5310.76,1.2805,1.65042,1.29043,0.64505,0.4323,0.47281,0.2924,1.41713,1.59367,1.29276,0.005248,0.005248,0.005248
26,5522.5,1.26742,1.61053,1.27625,0.68576,0.40662,0.46941,0.2888,1.41645,1.58091,1.28982,0.00505,0.00505,0.00505
27,5734.35,1.25743,1.56822,1.2672,0.67064,0.41416,0.47544,0.29592,1.42331,1.58911,1.29237,0.004852,0.004852,0.004852
28,5945.96,1.25231,1.55195,1.27017,0.66709,0.41418,0.47509,0.3003,1.40489,1.56378,1.28759,0.004654,0.004654,0.004654
29,6157.6,1.24358,1.52184,1.2586,0.69159,0.39568,0.48033,0.30493,1.39584,1.5471,1.28137,0.004456,0.004456,0.004456
30,6369.17,1.23137,1.49028,1.24955,0.67651,0.41081,0.47929,0.30539,1.38788,1.54069,1.2673,0.004258,0.004258,0.004258
31,6580.72,1.22305,1.45686,1.24762,0.68397,0.40665,0.48932,0.31103,1.3806,1.53082,1.2649,0.00406,0.00406,0.00406
32,6792.24,1.2172,1.44265,1.2428,0.67102,0.41277,0.49375,0.31381,1.37342,1.51615,1.263,0.003862,0.003862,0.003862
33,7003.84,1.19953,1.4016,1.23305,0.61905,0.43943,0.49033,0.31081,1.37886,1.50382,1.26698,0.003664,0.003664,0.003664
34,7215.41,1.19638,1.39799,1.23141,0.66409,0.4268,0.48981,0.3095,1.38535,1.50577,1.27148,0.003466,0.003466,0.003466
35,7426.93,1.19079,1.37265,1.23007,0.68234,0.42386,0.49185,0.31365,1.3815,1.5034,1.26757,0.003268,0.003268,0.003268
36,7638.58,1.18176,1.34925,1.22195,0.66017,0.43878,0.49396,0.31397,1.37621,1.49436,1.26202,0.00307,0.00307,0.00307
37,7850.18,1.17188,1.32125,1.21601,0.65154,0.43665,0.49759,0.31671,1.37031,1.48366,1.26171,0.002872,0.002872,0.002872
38,8061.79,1.15995,1.30281,1.20789,0.6621,0.43627,0.49642,0.31584,1.36534,1.47681,1.26028,0.002674,0.002674,0.002674
39,8273.76,1.1526,1.27411,1.20231,0.65683,0.44371,0.49965,0.31748,1.36197,1.46925,1.25876,0.002476,0.002476,0.002476
40,8485.37,1.1493,1.26042,1.19981,0.62525,0.45531,0.49811,0.31741,1.35999,1.47082,1.25657,0.002278,0.002278,0.002278
41,8698.22,1.12096,1.07197,1.21315,0.6273,0.45994,0.50177,0.31859,1.35712,1.47053,1.25523,0.00208,0.00208,0.00208
42,8909.36,1.09594,1.02178,1.19634,0.61514,0.46602,0.50011,0.31743,1.35181,1.46797,1.25137,0.001882,0.001882,0.001882
43,9120.77,1.08115,0.99959,1.18925,0.62867,0.45778,0.4979,0.31707,1.34707,1.46965,1.24802,0.001684,0.001684,0.001684
44,9332.31,1.0695,0.97476,1.18303,0.65897,0.44526,0.49754,0.31792,1.34279,1.47037,1.24457,0.001486,0.001486,0.001486
45,9543.7,1.05837,0.94971,1.17386,0.63652,0.45761,0.49712,0.32023,1.33967,1.47133,1.24294,0.001288,0.001288,0.001288
46,9754.83,1.04136,0.92579,1.16245,0.63164,0.45961,0.49738,0.32178,1.33747,1.46893,1.24204,0.00109,0.00109,0.00109
47,9967.6,1.02983,0.9009,1.15572,0.64468,0.4563,0.49446,0.31967,1.33662,1.46916,1.24164,0.000892,0.000892,0.000892
48,10179.7,1.0179,0.8827,1.14711,0.6463,0.45497,0.49631,0.32124,1.33568,1.46795,1.24091,0.000694,0.000694,0.000694
49,10391.3,1.01104,0.8718,1.13994,0.63162,0.46038,0.49713,0.32239,1.33381,1.46913,1.23985,0.000496,0.000496,0.000496
50,10602.6,0.99832,0.85082,1.13568,0.63125,0.45949,0.49686,0.32205,1.33297,1.46903,1.23928,0.000298,0.000298,0.000298
